"","mse_pre","mse_aft","mse_ratio"
"Mean",44.4734646725787,57.1604629503078,1.61229816351452
"SCM",43.7289031588167,63.1603367000154,1.65420625176338
"BSS-simplex",29.2956082979035,59.0493589975405,2.96078808437928
"MIO_SCM",27.4490961418621,54.3619533713944,2.97379600404754
"PDA",314.731147049179,393.72756801055,1.37497158157209
"LASSO",11.6721618863142,53.7625742047928,19.8428672572619
"NET",197.544007127284,201.52675868186,1.05323920090114
"SCM0",38.7776458260716,57.1571210112569,1.7611840459062
"IFE0",17.7652982106906,51.4678488202979,3.81402839678753
"MIO0",242.811775824755,300.906855492234,1.36489591521187
"IFE",4.6331371724911,8.2002379913816,2.21655688345437
"semi1",232.468273367243,519.66772241825,3.31803390205217
"semi3",191.000371003431,194.748397405216,1.10626230291499
"Mygsynth",4.89526326535867,8.15653195758144,2.08389228089278
"gsynth_lsls",8.47194123781356,9.7137226309261,1.27708918239485
"gsynth_lslasso",5.71497289759777,7.4029826854908,1.63023721869042
"gsynth_simplex",3.65088172626954,6.54081049952462,2.14731150477719
"gsynth_mio",6.48344530726874,8.65424060932509,1.92366520751606
"Hsiaols",316.884070055902,312.193828167903,1.14590202823228
"hsiaosimplex",159.797986483069,162.128096822891,1.248554508298
"MC",174.038709548654,232.769798603414,1.59361533263656
