"","mse_pre","mse_aft","mse_ratio"
"Mean",40.2181273518989,40.0257618744934,1.21399823648243
"SCM",48.1635758666993,87.1978513009534,1.84291037735464
"BSS-simplex",26.2416788630913,44.7799260848791,1.54801206120605
"MIO_SCM",22.8810601381924,45.6789073649713,1.71176766083551
"PDA",14.4966472806444,40.2350018087899,2.62387906154417
"LASSO",15.7637018545637,34.8419223131696,2.28846461689277
"NET",15.4609016821205,31.3491340698394,1.9481136013589
"SCM0",29.0158063453938,43.3049156179294,1.26699356292011
"IFE0",21.4466139668869,38.5561709363004,1.51033177169824
"MIO0",19.2221108730882,45.2759759986474,2.39028950129467
"IFE",3.78454866650476,5.62484729659807,1.30324677795538
"semi1",0.316664872570726,5.60890852029484,17.731921233293
"semi3",2.44556558198881,3.31661374359989,2.43270004546852
"Mygsynth",4.27180868434131,6.52734662895831,1.28221281514806
"gsynth_lsls",7.3014072555357,6.32865309481936,0.75498143849993
"gsynth_lslasso",5.358622044397,4.82966864031791,0.807736608863245
"gsynth_simplex",3.01429942982225,5.09523656063969,1.40997920697013
"gsynth_mio",5.28921871206468,5.31407226098394,1.1703904378341
"Hsiaols",201.752009136566,289.216122632562,1.1719427242921
"Hsiaosimplex",80.0851685565734,74.0031587526926,0.782866203961311
"MC",102.887793680374,123.877985877621,1.26790106305342
