"","mse_pre","mse_aft","mse_ratio"
"Mean",7.72490810634766,8.08295639666774,1.1003421925878
"SCM",7.81220312815053,7.86391059125083,1.06085418176883
"BSS-simplex",3.60576586382116,4.32314231395931,1.26731567749026
"MIO_SCM",3.49945153210289,4.21522809460799,1.27892668124372
"PDA",1.30996588669114,2.51941484581615,2.0289406893682
"LASSO",0.557029611857234,1.35057658123411,2.75581525896986
"NET",0.55822206617607,1.36239005883466,2.75356652813819
"SCM0",8.67895793049489,8.71875012533822,1.06112041526777
"IFE0",4.47326955694343,5.86345324977655,1.40772461041474
"MIO0",1.73225239019387,2.58618813523901,1.97423175148703
"IFE",4.45967670451122,5.88377629685845,1.41433307370866
"semi1",0.615413157174057,1.67851507364814,2.9077577479789
"semi3",0.705334072428417,1.69850437946535,2.74165992895033
"Mygsynth",4.66571564159226,6.01457337568478,1.3827426921734
"gsynth_lsls",7.64425527573957,8.09996044856395,1.11350325548591
"gsynth_lslasso",6.21131395157304,6.71924316197833,1.13164587011391
"gsynth_simplex",3.42627032993625,4.41881580634681,1.38185355251883
"gsynth_mio",6.97283567497908,7.54928113349119,1.18704171379152
"Hsiaols",24.5128820405378,27.0425784760304,1.27464496999079
"Hsiaosimplex",5.34281549656792,6.39640250386011,1.2657430341813
"MC",1.2695677900724,3.60838945600404,3.03239981132186
